AL, A5, 2025080200,   , CHP6,   0, 337N,  784W,  20, 1015, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, A5, 2025080206,   , CHP6,   0, 337N,  777W,  20, 1015, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, A5, 2025080212,   , CHP6,   0, 336N,  768W,  20, 1014, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, 04, 2025080218,   , CHP6,   0, 332N,  757W,  30, 1013, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, FOUR,
AL, 04, 2025080300,   , CHP6,   0, 331N,  746W,  30, 1012, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, FOUR,
AL, 04, 2025080306,   , CHP6,   0, 332N,  735W,  30, 1010, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, FOUR,
AL, 04, 2025080312,   , CHP6,   0, 335N,  722W,  35, 1010, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080318,   , CHP6,   0, 337N,  710W,  35, 1009, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080400,   , CHP6,   0, 340N,  698W,  40, 1002, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080406,   , CHP6,   0, 345N,  687W,  43,  997, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080412,   , CHP6,   0, 351N,  676W,  48,  995, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080418,   , CHP6,   0, 357N,  664W,  52,  993, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080500,   , CHP6,   0, 364N,  652W,  55,  992, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080506,   , CHP6,   0, 370N,  641W,  55,  992, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080512,   , CHP6,   0, 377N,  630W,  56,  992, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080518,   , CHP6,   0, 381N,  621W,  57,  992, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080600,   , CHP6,   0, 385N,  612W,  54,  992, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080606,   , CHP6,   0, 387N,  601W,  52,  992, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080612,   , CHP6,   0, 389N,  590W,  51,  993, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080618,   , CHP6,   0, 391N,  579W,  50,  993, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080700,   , CHP6,   0, 393N,  568W,  49,  994, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080706,   , CHP6,   0, 396N,  552W,  48,  994, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080712,   , CHP6,   0, 399N,  537W,  46,  995, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080718,   , CHP6,   0, 402N,  522W,  45,  996, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080800,   , CHP6,   0, 405N,  507W,  43,  996, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080806,   , CHP6,   0, 409N,  490W,  42,  994, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080812,   , CHP6,   0, 413N,  471W,  41,  995, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
