AL, A5, 2025080200,   , BEST,   0, 337N,  784W,  20, 1015, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, A5, 2025080206,   , BEST,   0, 337N,  777W,  20, 1015, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, A5, 2025080212,   , BEST,   0, 336N,  768W,  20, 1014, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, A5, 2025080218,   , BEST,   0, 332N,  757W,  30, 1013, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, A5, 2025080300,   , BEST,   0, 331N,  746W,  30, 1012, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST, SPAWNINVEST, al722025 to al952025, 
AL, A5, 2025080306,   , BEST,   0, 332N,  735W,  30, 1010, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, A5, 2025080312,   , BEST,   0, 335N,  722W,  35, 1010, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, A5, 2025080318,   , BEST,   0, 337N,  710W,  35, 1009, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, 04, 2025080400,   , BEST,   0, 340N,  698W,  40, 1002, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER, TRANSITIONED, alA52025 to al042025, 
AL, 04, 2025080406,   , BEST,   0, 343N,  688W,  40, 1002, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080412,   , BEST,   0, 350N,  680W,  45, 1002, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080418,   , BEST,   0, 358N,  669W,  45, 1002, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080500,   , BEST,   0, 364N,  659W,  45, 1005, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080506,   , BEST,   0, 370N,  649W,  40, 1005, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080512,   , BEST,   0, 377N,  639W,  40, 1005, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080518,   , BEST,   0, 382N,  628W,  40, 1005, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080600,   , BEST,   0, 387N,  619W,  45, 1005, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080606,   , BEST,   0, 394N,  605W,  45, 1003, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080612,   , BEST,   0, 397N,  590W,  50,  999, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080618,   , BEST,   0, 399N,  572W,  50,  999, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080700,   , BEST,   0, 399N,  552W,  50,  999, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080706,   , BEST,   0, 404N,  532W,  50,  999, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080712,   , BEST,   0, 410N,  514W,  55,  998, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080718,   , BEST,   0, 421N,  486W,  55,  998, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080800,   , BEST,   0, 435N,  463W,  60,  999, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
AL, 04, 2025080806,   , BEST,   0, 447N,  446W,  65,  999, YS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, DEXTER,
Analyzed by 223
